"BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","BFI45","BFI46","BFI47","BFI48","BFI49","BFI50","BFI51","BFI52","BFI53","BFI54","BFI55","BFI56","BFI57","BFI58","BFI59","BFI60"
2,4,5,1,2,1,5,5,1,5,3,3,1,5,5,1,3,1,5,4,3,5,5,1,1,5,4,5,1,1,4,4,1,5,5,3,5,2,5,5,1,5,4,1,2,5,5,5,1,2,5,5,2,5,1,3,2,5,5,5
4,5,1,3,3,4,5,1,3,4,2,1,4,3,4,4,1,3,3,4,4,1,2,4,2,2,4,1,4,2,3,4,4,4,4,3,1,4,3,3,4,3,4,3,2,3,4,1,5,1,2,5,5,3,2,4,4,3,2,4
5,5,1,2,3,4,4,1,4,5,1,4,4,5,5,2,1,4,4,4,4,2,1,4,1,1,5,2,2,3,2,4,4,5,5,1,2,5,4,5,5,2,4,4,2,4,3,1,2,1,1,4,5,2,1,4,4,2,4,4
4,4,2,4,4,5,5,1,4,5,1,2,5,1,5,4,1,4,2,2,3,3,1,5,1,2,4,2,5,2,4,4,4,2,2,2,1,5,1,4,5,1,5,5,2,4,4,2,4,2,2,5,5,1,1,5,4,2,1,4
4,4,2,3,4,3,5,2,4,4,2,2,4,2,4,3,2,5,4,2,4,3,1,4,2,2,4,2,4,4,4,4,4,4,3,3,3,5,2,4,4,3,4,4,2,4,3,1,2,2,2,4,4,1,3,4,4,2,4,3
4,5,3,2,1,2,4,4,3,5,2,2,3,3,3,4,2,4,4,4,3,2,4,2,2,4,4,4,3,1,4,4,4,4,4,2,2,3,3,4,3,2,4,2,2,3,2,4,2,1,4,4,2,4,2,3,3,4,3,4
4,4,4,2,1,3,4,4,4,5,1,2,3,4,5,3,2,2,3,5,2,2,4,5,1,2,5,4,2,1,4,3,2,4,5,3,4,4,3,4,4,1,5,3,1,4,4,3,2,1,2,4,3,2,1,5,3,4,3,4
4,5,2,2,2,4,4,2,2,4,1,3,4,3,2,1,1,2,3,4,2,4,2,3,1,2,5,1,3,2,2,5,2,5,4,2,2,4,3,5,2,2,5,3,2,4,1,2,2,2,2,3,4,3,1,4,3,1,4,3
5,5,2,5,2,4,5,2,4,4,1,1,3,2,4,2,1,4,2,4,2,1,1,5,2,2,5,2,5,2,2,5,4,4,4,3,1,3,1,3,4,1,5,5,1,4,1,1,5,1,1,4,5,1,1,5,5,2,3,4
4,4,5,3,2,3,4,4,4,4,3,2,3,3,4,2,2,3,5,4,3,2,4,4,2,2,4,4,2,2,4,4,2,4,4,3,3,4,4,5,4,5,4,3,2,4,3,2,2,2,2,4,4,4,2,4,3,2,3,4
5,5,4,2,2,3,5,4,2,5,2,2,4,3,3,2,1,4,4,4,1,3,3,3,2,2,4,4,4,3,3,4,3,5,4,3,2,2,2,4,3,3,5,2,1,5,2,3,2,4,2,5,4,2,3,3,3,2,4,4
4,4,4,4,5,4,5,4,4,4,2,2,4,4,2,2,2,2,4,2,2,2,4,4,2,2,4,4,2,4,4,4,4,4,4,4,1,2,3,3,4,2,4,4,4,2,4,2,2,2,4,5,2,4,2,5,2,1,2,3
4,5,1,3,4,4,5,3,3,4,2,3,4,2,4,2,1,5,4,2,2,2,4,3,2,3,5,2,3,2,3,5,5,5,4,3,3,4,2,3,3,4,4,4,1,3,2,1,2,4,2,5,4,2,2,3,3,2,2,4
5,4,4,2,2,4,4,4,4,4,2,3,2,4,4,1,2,4,5,4,5,4,4,3,1,4,4,4,2,2,2,4,2,4,5,1,4,4,2,4,2,2,4,2,2,5,2,4,2,2,2,4,2,4,2,4,2,2,4,4
3,4,4,2,3,3,5,4,4,4,1,4,2,2,4,4,1,2,4,3,3,2,3,5,1,2,4,2,2,3,4,4,2,4,3,2,5,3,2,5,4,5,4,3,1,4,1,1,1,2,2,4,2,1,1,4,2,2,4,3
4,4,2,3,2,4,5,4,4,4,2,2,4,3,3,2,2,3,4,3,1,1,4,4,2,3,4,2,4,2,4,4,3,3,4,3,2,4,2,3,4,3,4,3,2,3,2,2,2,3,4,4,4,2,3,4,4,3,4,4
5,5,3,4,1,4,4,4,5,5,1,3,4,2,4,1,1,3,4,5,5,3,3,5,1,4,5,5,4,1,1,5,2,4,4,1,3,5,3,5,4,2,4,3,1,5,1,1,3,1,1,5,5,3,1,5,4,1,4,5
4,4,4,1,2,3,4,2,1,4,1,4,4,5,4,2,1,1,4,2,3,2,4,2,3,4,5,4,1,1,5,4,2,5,3,3,2,4,5,5,4,4,5,1,1,4,1,4,2,2,2,4,5,4,5,2,2,5,5,4
4,4,3,2,1,5,5,4,4,5,2,4,3,2,4,1,1,4,4,5,3,1,3,5,3,3,4,2,4,2,2,4,3,3,5,1,1,4,2,4,3,2,4,4,1,5,2,2,4,2,1,5,4,2,2,4,4,1,1,5
4,4,1,1,3,4,4,2,2,3,1,4,4,5,2,2,1,5,4,4,1,1,2,1,1,2,4,2,1,5,5,5,4,5,5,2,2,4,5,5,4,4,4,1,2,4,2,1,1,1,4,5,4,4,1,4,2,2,4,1
3,3,2,2,2,4,4,4,2,5,4,4,1,4,4,3,4,4,4,4,3,4,5,2,1,5,4,4,2,2,4,4,4,5,4,1,5,3,4,5,1,4,3,2,2,4,4,2,2,4,4,4,2,4,2,2,3,4,4,3
4,5,2,1,1,4,5,3,2,5,2,2,1,5,5,2,1,5,5,5,4,1,3,1,1,4,5,4,1,2,4,5,4,5,5,2,1,5,5,5,2,4,5,1,1,4,2,1,1,1,2,5,3,5,1,4,5,2,4,5
4,4,1,3,2,3,4,1,3,5,2,2,5,2,3,2,2,4,3,4,2,1,2,4,2,2,3,2,4,3,2,4,4,4,5,3,2,4,2,3,4,2,4,4,3,4,2,1,4,1,2,4,5,2,3,3,4,1,1,3
4,5,4,5,1,2,5,4,5,4,2,1,4,2,4,1,2,1,2,5,2,4,2,5,1,3,5,2,4,4,2,5,2,2,5,3,1,4,2,4,4,1,4,4,2,5,2,2,4,2,4,5,3,4,1,4,5,3,1,3
4,4,5,1,4,2,4,5,2,4,1,3,2,3,2,1,2,3,5,4,4,3,5,4,1,3,4,5,1,4,1,3,1,5,5,2,3,4,2,4,4,3,4,2,3,5,2,4,2,3,3,4,4,1,5,4,4,4,5,4
4,4,4,5,1,3,5,4,4,5,5,2,3,1,4,3,2,3,1,4,2,2,4,4,1,2,4,4,4,2,2,3,3,1,4,2,1,4,1,4,4,2,4,4,1,4,2,3,4,1,3,4,4,2,2,4,4,4,1,4
4,4,5,2,1,1,3,5,2,5,1,3,1,5,5,2,1,1,5,5,4,5,3,5,2,2,5,4,2,1,3,5,3,5,5,3,4,4,4,5,4,4,5,2,2,5,3,2,4,1,3,3,4,4,1,5,5,5,5,5
4,4,4,5,4,3,3,5,4,3,2,4,2,2,3,3,2,2,4,2,2,4,5,5,2,4,4,4,4,1,3,2,2,2,4,2,4,4,2,5,3,2,4,4,1,4,5,4,4,2,3,3,4,2,2,4,4,2,3,4
2,4,1,4,1,4,4,5,1,5,4,1,3,4,4,4,2,5,4,5,3,2,5,1,1,5,4,4,1,4,4,4,1,2,5,2,2,4,4,5,1,4,4,2,3,4,5,5,4,2,4,4,1,4,1,2,4,2,2,4
4,4,3,3,3,4,4,2,4,5,2,3,4,3,4,2,2,3,3,3,4,3,2,3,2,3,4,2,3,2,3,3,3,4,3,3,2,4,2,3,3,3,4,4,2,4,2,2,4,2,2,4,4,2,2,4,4,2,2,4
4,5,4,2,3,4,5,4,4,4,3,2,4,3,4,2,2,3,3,3,2,1,4,4,3,3,5,4,4,3,2,4,3,4,4,3,1,4,3,3,4,3,5,4,3,4,2,3,3,3,2,5,4,3,3,3,5,1,2,4
4,5,4,4,3,4,4,4,4,4,2,2,4,1,4,4,1,2,4,3,2,2,4,4,1,2,5,4,2,2,2,4,2,2,3,2,1,4,2,5,4,2,4,4,2,3,2,4,4,3,4,4,2,2,2,3,4,2,1,4
3,2,3,5,1,3,5,4,5,5,2,3,5,4,4,2,4,3,4,5,3,1,2,4,2,3,4,4,5,2,4,4,2,2,5,2,4,5,5,5,3,5,4,4,1,5,5,3,4,2,2,4,5,4,2,4,2,3,2,4
4,5,3,2,1,4,4,4,4,5,1,2,3,2,4,2,1,3,4,5,2,3,4,3,1,1,5,3,2,1,3,4,3,4,5,3,4,4,3,5,5,4,5,4,2,4,3,4,2,2,3,3,5,3,3,5,3,1,5,5
4,4,4,3,2,4,5,3,2,4,2,2,2,5,3,3,1,2,4,5,2,2,3,5,1,4,5,2,2,2,3,3,2,4,4,2,3,4,4,5,2,4,4,2,4,4,2,4,2,2,2,4,3,4,2,2,4,3,4,2
4,4,5,3,2,4,5,1,3,3,2,1,5,2,3,1,1,5,4,4,3,2,1,3,1,1,5,1,4,4,2,5,5,3,4,2,3,5,2,3,4,3,5,4,3,4,3,1,4,1,2,5,5,1,1,4,4,2,3,3
4,3,2,2,1,4,4,3,2,4,2,4,3,4,4,2,2,3,4,5,2,2,4,3,3,2,4,4,2,2,4,3,3,4,5,3,3,4,4,4,4,4,4,2,2,4,2,2,3,2,2,4,4,3,2,4,2,4,4,4
5,4,3,3,2,4,4,2,3,3,1,3,4,2,3,1,1,3,3,4,4,3,2,4,2,1,4,2,3,2,3,4,4,3,3,3,2,4,3,4,4,2,4,3,2,5,1,1,2,1,1,4,4,2,2,4,3,2,4,4
4,5,4,2,4,4,4,4,3,3,2,3,3,4,3,2,2,4,4,2,3,3,4,3,2,3,5,4,2,3,3,4,2,5,3,3,2,4,4,5,4,5,4,2,1,4,2,4,2,3,2,4,4,3,4,4,3,2,4,3
4,5,2,2,2,5,5,2,4,5,1,2,4,4,4,4,1,5,4,4,4,1,1,4,1,2,5,1,4,2,4,4,4,4,4,2,1,5,4,5,5,4,5,3,1,4,1,1,2,1,1,5,5,4,2,5,4,1,2,4
5,3,2,2,4,4,4,3,3,5,1,2,2,3,4,1,4,3,4,2,4,3,3,5,2,1,2,4,2,2,2,2,1,2,3,2,3,3,2,4,5,4,4,3,2,5,4,3,2,3,3,3,3,2,2,4,2,4,4,4
5,4,5,4,1,3,5,4,3,5,2,3,4,2,4,2,2,1,2,5,3,1,2,4,1,2,4,5,5,1,2,4,1,4,5,3,2,3,1,5,4,1,4,5,1,4,2,5,3,1,1,5,5,2,1,5,5,3,1,4
4,3,4,3,4,4,4,4,4,4,2,3,4,2,5,2,3,2,4,3,4,3,4,5,2,1,4,4,3,2,3,3,2,2,3,2,4,4,3,3,4,3,4,2,2,4,2,3,4,4,2,4,3,2,3,3,3,4,4,4
4,5,4,2,4,3,4,4,2,4,1,2,3,2,4,2,1,2,5,4,2,1,4,4,1,2,5,4,2,3,5,4,2,5,4,3,2,4,2,4,4,4,4,4,2,4,2,2,4,2,4,4,4,2,2,4,3,4,4,3
5,5,2,5,2,4,4,2,5,5,2,1,4,4,4,3,2,5,4,5,3,1,2,5,1,2,5,2,5,2,3,4,4,3,5,3,3,4,2,5,5,3,5,5,2,4,3,2,3,2,2,5,5,2,2,5,4,1,1,4
2,4,3,4,4,3,4,4,2,2,3,2,2,3,5,4,2,3,4,2,3,2,4,2,4,4,4,4,2,1,4,4,3,4,2,3,4,3,3,3,2,4,3,4,2,2,3,2,3,3,3,4,3,3,3,2,2,4,2,4
4,4,2,1,1,3,5,3,2,5,1,3,4,5,4,3,3,4,3,5,5,3,3,4,1,2,5,3,2,1,4,5,3,5,5,2,4,5,3,1,3,3,5,3,1,3,3,2,3,1,1,5,5,2,1,3,3,3,3,5
5,5,2,2,3,3,5,2,4,5,2,2,5,2,5,2,1,2,2,4,3,2,2,4,1,1,5,1,4,1,2,5,4,5,5,2,2,5,2,5,5,2,5,4,2,4,1,1,4,1,1,5,5,1,1,4,4,1,2,5
5,5,1,5,2,4,5,2,3,5,1,2,4,2,3,2,1,5,2,5,3,2,3,4,1,2,5,2,4,2,2,5,5,2,5,2,1,4,2,5,5,2,4,4,1,4,1,1,3,1,2,5,3,2,1,5,4,2,1,4
3,5,1,3,3,2,5,5,2,3,1,1,4,3,3,3,1,5,4,4,1,1,3,3,4,3,5,3,4,4,5,5,5,4,5,4,2,3,4,2,4,3,5,5,2,4,1,1,2,1,4,5,5,3,3,3,5,1,1,3
2,4,2,1,2,3,2,5,1,4,4,5,1,5,5,1,5,4,5,4,4,5,5,1,1,2,4,4,1,1,5,4,2,5,4,3,5,4,5,5,1,4,5,1,1,5,4,3,1,2,4,4,3,5,1,1,1,4,5,4
4,4,2,4,1,4,4,3,2,5,1,3,2,2,3,3,2,2,4,5,4,3,3,5,1,2,4,4,4,2,2,2,3,2,5,3,4,3,2,5,5,2,4,3,2,4,2,2,3,2,2,3,2,2,2,4,4,2,4,3
4,5,3,3,4,3,5,3,4,5,1,3,3,5,4,2,2,4,4,2,4,4,4,4,2,3,5,3,2,2,3,5,3,4,2,2,4,4,3,5,5,4,4,4,2,4,2,3,1,5,3,4,4,3,2,4,3,3,5,4
4,4,3,3,3,4,5,3,2,4,2,3,4,2,4,2,1,4,4,3,3,2,4,3,2,2,4,4,4,3,3,4,4,4,3,4,2,4,3,3,3,4,5,4,3,5,2,1,2,3,2,4,3,2,2,4,4,2,2,4
4,5,3,2,1,4,4,2,3,5,1,1,4,1,4,1,1,3,1,2,2,2,3,4,1,2,5,3,3,2,1,5,3,5,2,3,1,5,1,3,4,1,5,3,2,5,1,1,5,1,3,5,3,1,1,5,5,2,2,2
5,3,2,3,4,2,3,4,5,5,1,2,3,2,3,1,1,3,3,4,5,3,2,5,1,3,4,4,2,3,2,3,2,4,5,1,5,5,3,4,4,3,5,3,1,5,4,2,1,1,1,5,5,2,2,4,4,5,5,4
3,4,1,1,3,4,5,2,3,4,1,3,5,3,3,5,1,4,4,3,4,3,1,3,2,2,5,4,3,5,5,5,3,4,4,5,4,5,4,4,4,4,5,3,1,3,4,2,3,2,3,4,4,3,2,4,4,3,4,2
4,3,5,4,3,4,5,4,4,4,2,2,3,2,4,2,2,3,2,3,4,4,2,4,2,2,4,2,4,2,2,4,4,4,3,3,4,4,2,4,4,2,3,4,3,4,2,2,4,3,2,4,4,2,3,4,4,2,2,4
4,4,5,2,2,2,4,5,2,4,2,4,3,5,2,3,2,1,5,4,4,3,4,2,4,4,4,4,2,4,3,4,2,5,4,2,4,3,5,4,3,4,5,3,2,4,2,4,2,2,3,4,3,4,3,3,4,4,5,3
3,4,4,2,4,1,4,5,2,5,3,4,2,4,2,3,1,3,4,3,1,3,4,1,1,4,4,4,2,4,5,3,3,4,5,4,3,2,4,4,2,4,4,2,2,5,2,3,1,2,4,4,2,3,2,3,2,4,3,2
4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4
2,4,1,3,5,3,4,4,2,3,3,4,4,4,3,5,2,5,4,2,2,2,2,2,4,3,4,2,2,4,5,4,5,4,2,5,4,4,4,3,2,4,4,2,4,2,2,1,2,2,2,4,4,4,4,2,2,2,4,2
5,3,3,3,2,4,4,4,2,3,2,4,4,3,4,2,2,3,4,5,4,2,4,3,1,2,4,4,4,2,4,3,3,4,4,2,3,4,4,4,3,3,4,5,2,5,5,2,2,1,4,4,4,3,2,3,3,4,2,3
4,4,4,3,3,4,4,2,4,4,2,2,4,3,4,2,2,2,4,4,2,2,2,4,2,2,4,4,4,2,4,4,2,2,4,2,4,4,2,4,4,4,4,4,2,4,2,2,4,2,4,4,4,2,2,4,4,4,2,4
5,4,4,2,2,4,5,4,4,4,2,2,3,4,3,1,2,2,4,5,4,1,4,5,1,2,4,4,2,3,2,4,1,4,4,3,2,4,2,4,4,2,4,2,2,5,2,4,2,1,3,4,4,1,2,4,4,5,2,2
4,4,2,1,2,4,4,3,4,5,1,2,3,2,4,3,2,4,4,5,3,2,5,2,2,3,4,4,3,2,4,4,2,5,5,3,3,3,4,5,4,4,3,5,1,4,4,2,2,1,4,4,4,4,1,4,4,1,4,4
5,5,3,3,2,3,5,4,4,5,1,2,3,2,4,3,1,3,4,4,4,4,3,4,2,4,4,4,3,3,4,5,3,4,4,3,2,5,3,5,4,3,4,3,1,4,1,2,3,1,2,4,4,2,2,4,5,3,3,4
4,4,4,2,4,2,4,3,2,5,3,2,2,5,5,3,1,2,5,5,1,4,4,2,1,3,5,5,1,1,4,5,2,5,5,5,2,2,4,5,3,3,3,2,1,4,1,4,1,1,3,5,3,4,1,4,3,4,4,5
3,4,2,1,4,4,5,4,2,4,2,3,4,2,2,4,2,4,4,3,4,4,5,2,2,4,4,2,2,4,5,4,4,5,2,3,4,2,4,4,2,4,4,2,2,2,2,2,3,4,2,4,4,3,4,2,4,4,2,3
5,4,3,2,1,5,5,2,4,5,1,2,4,4,5,2,1,4,4,5,4,2,2,4,2,2,5,2,2,1,2,5,4,4,5,2,2,4,3,4,5,4,5,2,2,5,3,2,2,1,2,5,5,3,2,5,3,2,4,5
5,5,4,2,5,3,4,4,2,4,1,4,4,4,3,1,2,2,4,2,4,4,4,4,2,4,4,4,2,4,4,4,2,4,2,2,4,4,2,4,2,4,4,2,2,5,4,4,4,4,2,4,2,4,2,4,2,4,4,2
4,4,5,2,2,3,4,3,3,4,1,1,2,5,4,2,2,2,2,4,2,1,4,2,2,3,4,5,1,1,3,4,1,5,5,3,1,3,4,5,4,2,4,2,4,5,1,2,3,1,3,5,4,3,1,4,5,4,3,4
5,5,2,4,2,4,5,1,4,5,1,2,4,2,4,1,1,2,5,4,1,1,1,3,2,1,5,5,4,3,4,5,5,4,5,5,1,2,2,4,5,2,5,4,2,5,2,1,4,1,4,4,4,2,2,5,5,2,5,5
4,5,1,1,2,4,4,4,4,5,4,2,5,4,5,2,1,5,4,5,4,1,1,4,2,2,5,4,2,2,4,5,4,5,4,3,5,5,4,4,4,4,5,3,2,4,4,1,2,1,1,5,5,3,1,4,4,4,5,5
5,4,3,4,4,4,5,2,4,5,1,2,4,1,3,1,1,3,4,4,4,4,2,5,1,2,4,2,4,4,1,5,3,2,4,2,1,4,1,2,4,1,4,4,3,4,2,1,3,2,3,5,3,2,2,4,4,4,2,3
4,4,2,4,2,4,5,5,4,5,1,3,2,4,5,2,1,3,4,4,3,4,5,4,2,1,5,4,2,2,4,4,3,5,5,2,1,4,4,5,5,4,5,4,2,5,3,1,2,1,4,5,1,4,1,5,4,2,4,5
4,4,2,2,5,4,4,2,2,4,1,2,4,2,2,2,2,4,4,1,4,4,2,2,2,2,5,2,4,4,4,5,4,4,1,3,2,4,2,2,4,4,4,4,2,4,2,2,4,2,4,4,4,2,4,4,3,4,4,2
4,5,2,1,2,4,5,3,3,5,1,4,2,4,5,2,1,5,5,5,4,3,3,3,1,1,5,4,2,2,2,5,5,5,5,3,5,5,5,5,5,2,5,1,1,5,5,1,3,1,2,5,5,4,1,5,5,4,4,4
5,5,3,3,3,4,5,3,3,3,2,3,4,2,4,4,1,3,3,3,2,2,4,3,2,3,5,4,3,3,4,4,3,4,4,3,1,3,3,4,3,2,5,3,1,4,1,2,2,2,2,5,3,3,2,3,4,2,2,4
4,4,3,3,1,3,5,3,3,4,2,2,4,2,3,3,1,4,4,5,4,3,2,4,2,3,4,4,3,2,4,4,4,4,5,2,2,4,2,4,3,3,4,3,2,4,3,2,3,1,2,5,4,2,2,4,3,3,3,4
4,5,2,4,4,4,5,4,4,5,2,2,4,2,5,2,2,4,4,2,4,1,4,4,2,2,5,2,5,2,4,5,4,4,2,3,1,4,1,4,4,4,5,4,1,4,2,1,4,3,2,5,4,1,2,4,3,1,1,5
4,4,3,2,3,3,5,4,3,4,2,2,4,4,3,3,2,3,4,3,2,2,2,4,3,2,4,3,2,2,4,4,3,4,3,3,2,4,3,2,3,2,4,3,2,3,2,2,2,2,2,5,4,3,3,3,4,3,3,3
3,5,4,3,4,3,5,4,3,2,4,2,2,3,4,5,2,4,4,2,1,1,4,3,2,2,5,4,4,4,5,5,2,5,2,3,1,2,3,4,2,3,3,3,1,1,2,3,2,2,4,5,5,3,3,2,4,1,1,1
5,5,5,1,1,1,5,5,2,5,5,5,5,5,1,1,5,5,5,1,1,5,5,5,1,3,3,5,5,1,5,5,3,5,2,5,5,5,5,5,5,5,5,2,1,5,5,1,1,4,3,5,5,5,3,5,5,5,5,5
4,4,3,2,3,4,5,1,4,4,5,2,4,3,2,1,1,1,3,2,2,3,2,4,3,4,5,4,4,3,2,5,1,5,4,4,1,4,3,4,5,2,5,2,1,4,1,3,3,1,2,3,4,3,4,5,5,4,4,4
3,5,1,3,3,4,5,1,4,5,1,2,3,1,5,2,1,4,3,4,2,2,1,4,1,1,5,2,4,3,1,4,4,4,4,3,2,4,2,4,5,2,4,5,1,4,2,1,4,2,1,4,4,1,2,4,4,2,2,4
4,4,4,3,3,3,4,3,3,3,2,2,3,3,3,2,1,2,3,3,2,2,3,4,4,2,4,4,3,3,2,4,2,4,3,2,1,4,3,3,3,2,4,4,2,4,1,3,2,3,2,4,4,3,3,4,4,3,3,3
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,2,1,4,2,4,5,2,3,4,2,4,2,1,2,4,4,1,1,2,4,1,2,4,4,4,2,4,4,2,4,4,2,1,4,2,4,4,2,4,4,2,5,2,2,4,2,4,4,5,2,2,4,4,4,2,4
4,4,4,4,3,4,4,4,4,4,1,3,4,3,3,2,1,2,4,3,3,2,4,4,1,1,4,5,3,2,4,4,3,3,3,3,3,4,2,4,4,2,3,3,1,4,3,2,3,2,2,4,3,2,2,4,4,4,2,4
3,5,4,3,3,5,4,5,3,5,1,5,1,2,4,3,1,2,4,4,5,3,4,3,1,1,5,2,4,2,5,4,2,5,4,1,2,3,2,5,4,2,5,4,3,3,4,4,2,2,2,4,2,2,2,4,4,3,2,4
3,4,2,1,2,3,5,4,2,4,2,2,4,4,4,3,2,2,5,4,2,1,4,2,2,4,4,4,2,3,4,4,2,4,4,3,1,3,5,4,2,3,3,2,3,2,1,2,2,1,2,5,4,5,1,2,5,4,4,4
2,4,1,4,1,4,5,2,2,5,1,4,4,2,5,4,1,4,4,5,4,2,2,3,1,4,5,2,4,1,5,4,4,5,5,1,3,5,2,5,2,2,4,4,1,2,1,1,2,1,1,4,5,2,1,2,3,1,2,4
4,5,5,2,3,4,5,5,4,4,1,2,2,4,3,2,1,3,4,4,4,2,5,3,2,2,4,5,2,3,4,4,2,5,2,2,2,4,3,2,4,2,5,4,2,5,1,3,2,1,2,4,2,3,2,4,4,5,5,4
3,4,1,5,4,4,4,2,4,3,2,3,4,3,5,4,2,3,2,2,3,3,2,4,2,3,4,2,4,3,4,2,4,2,3,2,2,4,2,2,4,4,5,5,2,2,2,2,5,3,2,4,4,2,3,3,3,2,2,4
4,4,5,2,3,4,4,3,4,5,2,1,4,3,4,2,4,2,4,4,4,5,3,4,1,1,4,2,2,3,4,4,3,5,4,2,4,4,2,5,5,4,4,3,2,5,4,3,2,2,1,4,5,2,1,4,3,2,4,4
1,4,4,2,4,4,5,4,3,4,2,4,4,4,4,5,1,2,4,2,1,2,4,2,4,4,4,4,4,4,5,3,2,4,2,4,4,2,4,4,2,5,4,4,2,2,4,2,2,2,4,5,4,3,2,2,3,4,2,2
3,4,3,4,2,4,5,3,2,4,3,2,3,1,4,4,2,2,4,4,2,1,2,2,2,2,4,3,4,2,4,3,3,4,4,3,1,3,2,4,2,3,4,4,2,2,2,1,2,2,2,4,3,3,2,4,2,2,2,4
5,5,3,2,1,4,4,3,2,5,1,3,3,4,3,1,1,4,4,3,4,4,3,2,4,1,5,4,3,2,3,4,3,5,3,2,4,4,4,4,4,2,4,3,1,5,1,2,3,5,2,4,3,3,2,4,3,4,4,4
4,3,2,2,3,3,5,3,3,4,2,4,4,4,4,2,4,4,4,3,4,2,3,4,2,4,4,2,1,2,4,3,3,5,4,3,4,4,2,2,4,5,4,3,1,5,4,2,1,2,2,5,4,2,3,3,1,1,4,4
3,4,2,1,1,2,5,3,2,4,1,2,4,4,4,3,1,3,4,4,3,1,2,4,3,3,5,3,1,3,3,4,3,5,4,3,2,4,3,4,3,4,5,2,5,3,1,3,4,2,3,4,5,2,2,3,4,3,2,3
4,4,1,2,2,4,5,2,5,4,1,1,5,5,5,2,1,5,5,4,4,1,1,3,1,3,4,2,1,3,4,4,4,5,4,5,1,5,5,5,3,5,4,3,1,3,4,1,1,2,3,4,5,4,1,5,3,1,4,5
5,4,2,2,1,4,4,3,3,4,1,2,4,2,4,1,1,4,4,5,4,2,2,2,2,1,4,4,4,2,2,4,4,4,4,3,2,4,2,2,4,2,4,2,2,5,1,2,2,1,2,4,4,2,3,4,3,2,4,4
4,5,2,3,2,4,4,2,4,4,2,4,4,2,4,1,1,4,2,2,4,4,2,2,1,1,5,2,3,2,4,4,3,4,3,2,4,4,4,4,2,4,5,2,2,5,1,2,1,4,2,5,4,2,2,4,4,2,4,5
4,4,1,3,4,4,5,2,2,3,1,2,3,1,4,5,5,4,4,3,2,2,2,3,2,1,5,4,4,5,4,4,5,3,3,1,2,4,1,2,4,2,5,2,2,4,1,1,1,1,2,5,5,1,3,4,4,3,1,3
4,4,1,2,3,4,4,2,2,4,2,4,4,4,3,2,2,5,4,3,4,3,2,4,2,4,4,1,3,4,4,4,5,5,4,3,4,5,3,5,3,4,4,2,2,4,2,1,2,1,1,4,5,4,3,3,4,2,4,3
4,4,5,3,3,4,4,5,2,5,2,5,3,3,4,2,2,2,4,3,1,3,4,3,5,4,4,4,3,2,4,4,1,4,3,3,4,3,2,2,3,3,4,4,2,4,3,5,2,3,5,4,3,1,3,2,3,3,3,3
5,5,1,1,2,4,5,2,4,5,1,4,5,3,4,1,1,5,4,4,4,3,1,3,1,1,5,1,3,1,1,5,5,5,4,2,4,5,2,4,4,4,5,4,1,5,3,1,2,1,1,5,5,3,2,5,3,3,4,5
4,4,2,3,2,5,5,1,4,5,2,2,4,2,4,2,1,4,4,4,4,1,2,5,2,2,4,2,4,3,4,4,3,2,4,3,2,4,2,4,3,2,4,4,2,3,2,1,3,2,2,4,4,1,2,3,4,3,2,3
4,5,5,2,1,4,5,5,2,4,1,4,2,5,4,2,1,2,4,5,4,2,5,2,1,2,5,4,1,1,4,4,2,5,5,3,2,2,4,5,5,4,5,2,2,5,5,2,1,1,2,5,4,5,2,5,4,4,4,5
5,5,3,2,1,4,5,2,1,5,1,1,3,2,4,1,1,3,4,5,2,2,1,3,1,2,5,3,3,1,1,5,4,5,5,2,1,4,2,3,5,2,5,4,2,5,1,2,3,1,1,5,5,1,1,5,5,2,3,5
2,4,2,2,1,4,5,4,3,4,3,2,3,3,2,4,2,4,4,4,2,2,4,3,3,5,4,3,2,2,5,2,3,4,5,3,3,3,3,3,1,2,4,3,2,2,3,2,2,3,3,4,2,4,3,4,4,2,4,4
4,5,2,4,5,4,4,3,4,4,2,3,4,2,3,4,2,4,3,2,2,2,2,4,2,2,4,2,4,5,4,5,4,3,2,3,2,4,2,4,4,2,4,5,4,3,2,2,4,4,2,4,4,1,5,3,3,2,2,2
5,4,2,4,5,5,5,5,4,5,1,1,4,2,3,2,1,4,5,3,4,2,4,2,2,2,4,4,3,2,4,4,2,4,2,1,2,5,3,4,4,2,5,3,1,5,5,2,3,2,1,5,4,1,2,4,4,4,2,4
